m,allocation,h,alpha,beta_down_base,beta_up_base,delta_base,beta_down_refit,beta_up_refit,delta_refit,ddelta,abs_delta_refit,sesoi,mde80,within_sesoi,within_mde,n_obs
0.25,prop_active,6,0.01,0.0013269207389065916,0.0011770830792197158,0.00014983765968687576,0.001278638583009344,0.0011349426263053313,0.00014369595670401278,-6.141702982862983e-06,0.00014369595670401278,0.0010915461253353,0.0009422558355928,True,True,40576
0.25,prop_active,12,0.01,0.000992717199856454,0.0010642654006063072,-7.154820074985321e-05,0.0009548754871084738,0.0010284594285325606,-7.35839414240868e-05,-2.035740674233592e-06,7.35839414240868e-05,0.0010915461253353,0.0009422558355928,True,True,40570
0.25,prop_oi,0,0.01,0.0017831997716840904,0.0012543171852013868,0.0005288825864827036,0.000741165059376038,0.0006909691405310099,5.019591884502801e-05,-0.0004786866676376756,5.019591884502801e-05,0.0010915461253353,0.0009422558355928,True,True,40582
0.25,prop_oi,6,0.01,0.0013269207389065916,0.0011770830792197158,0.00014983765968687576,0.00047646671086109724,0.00033009209389579775,0.0001463746169652995,-3.463042721576267e-06,0.0001463746169652995,0.0010915461253353,0.0009422558355928,True,True,40576
0.25,prop_oi,12,0.01,0.000992717199856454,0.0010642654006063072,-7.154820074985321e-05,0.00019080470584234064,0.0004133933042720834,-0.00022258859842974276,-0.00015104039767988955,0.00022258859842974276,0.0010915461253353,0.0009422558355928,True,True,40570
0.25,stress_adj0,0,0.01,0.0017831997716840904,0.0012543171852013868,0.0005288825864827036,0.0010412396257489503,0.0009477358836151404,9.35037421338099e-05,-0.0004353788443488937,9.35037421338099e-05,0.0010915461253353,0.0009422558355928,True,True,40582
0.25,stress_adj0,6,0.01,0.0013269207389065916,0.0011770830792197158,0.00014983765968687576,0.0006638812432306955,0.00042362411718867277,0.00024025712604202275,9.0419466355147e-05,0.00024025712604202275,0.0010915461253353,0.0009422558355928,True,True,40576
0.25,stress_adj0,12,0.01,0.000992717199856454,0.0010642654006063072,-7.154820074985321e-05,0.00033046584396306393,0.0004596625865178129,-0.00012919674255474896,-5.764854180489575e-05,0.00012919674255474896,0.0010915461253353,0.0009422558355928,True,True,40570
0.5,prop_active,0,0.01,0.0017831997716840904,0.0012543171852013868,0.0005288825864827036,0.0016676378471056864,0.0011708205765635243,0.0004968172705421621,-3.206531594054148e-05,0.0004968172705421621,0.0010915461253353,0.0009422558355928,True,True,40582
0.5,prop_active,6,0.01,0.0013269207389065916,0.0011770830792197158,0.00014983765968687576,0.0012410642609488184,0.001102149393873098,0.00013891486707572043,-1.0922792611155327e-05,0.00013891486707572043,0.0010915461253353,0.0009422558355928,True,True,40576
0.5,prop_active,12,0.01,0.000992717199856454,0.0010642654006063072,-7.154820074985321e-05,0.0009254964644109178,0.0010005791656875597,-7.508270127664198e-05,-3.5345005267887683e-06,7.508270127664198e-05,0.0010915461253353,0.0009422558355928,True,True,40570
0.5,prop_oi,0,0.01,0.0017831997716840904,0.0012543171852013868,0.0005288825864827036,0.0006677440438969588,0.0006298504859977431,3.7893557899215755e-05,-0.0004909890285834878,3.7893557899215755e-05,0.0010915461253353,0.0009422558355928,True,True,40582
0.5,prop_oi,6,0.01,0.0013269207389065916,0.0011770830792197158,0.00014983765968687576,0.0004234041703442683,0.00028655467590854887,0.00013684949443571945,-1.298816525115631e-05,0.00013684949443571945,0.0010915461253353,0.0009422558355928,True,True,40576
0.5,prop_oi,12,0.01,0.000992717199856454,0.0010642654006063072,-7.154820074985321e-05,0.00015832993829089064,0.00036878972411214227,-0.00021045978582125163,-0.00013891158507139842,0.00021045978582125163,0.0010915461253353,0.0009422558355928,True,True,40570
0.5,stress_adj0,0,0.01,0.0017831997716840904,0.0012543171852013868,0.0005288825864827036,0.0009631603743607905,0.0008865008489321527,7.665952542863785e-05,-0.00045222306105406574,7.665952542863785e-05,0.0010915461253353,0.0009422558355928,True,True,40582
