h,g_down,g_up,gap_g,ci_lo,ci_hi,pval,g_down_partner,asym_iso,cond_delta,cond_ci_lo,cond_ci_hi,asym_matches_cond,branch
10,-0.001133211441186082,0.0033392954224797026,-0.004472506863665785,-0.005827180551068219,-0.0030963513135835413,0.0,0.001411840688160062,-0.00027862924697397997,-0.0002786292469739,-0.0010000072900014,0.0004447298135737,True,NON-CONFIRMATORY
11,-0.0009913921035127461,0.0026738740199297784,-0.003665266123442525,-0.005075683578466788,-0.002377347795787586,0.0,0.0014267217120210623,-0.00043532960850831614,-0.0004353296085083,-0.0012292436391487,0.0003575990167589,True,NON-CONFIRMATORY
12,-0.0009927171998564644,0.002758621363596281,-0.0037513385634527453,-0.005151115656928286,-0.0024347250339242952,0.0,0.001064265400606318,-7.154820074985364e-05,-7.154820074985863e-05,-0.000874923129752,0.0007229970759634,True,NON-CONFIRMATORY
13,-0.000781473356132183,0.002155932620265842,-0.0029374059763980246,-0.004240498873604539,-0.0015866485557393844,0.0,0.0010781441153989457,-0.0002966707592667627,-0.0002966707592667,-0.0010589474482728,0.0004668098042877,True,NON-CONFIRMATORY
14,-0.0008256248958830485,0.002641965520048782,-0.00346759041593183,-0.004800242380503571,-0.002181092462375364,0.0,0.000800583248593174,2.504164728987443e-05,2.5041647289875298e-05,-0.0006674773528585,0.0007236481863907,True,NON-CONFIRMATORY
15,-0.0006996637238753847,0.0027977344131286906,-0.0034973981370040753,-0.004822818816982951,-0.002148724103741653,0.0,0.0008443928043356428,-0.00014472908046025816,-0.0001447290804602,-0.0007912699261966,0.0005186844308862,True,NON-CONFIRMATORY
16,-0.0009332696092584377,0.0030069649791093426,-0.003940234588367781,-0.005211374832609899,-0.002657614211000011,0.0,0.0008042489216559695,0.00012902068760246822,0.0001290206876024,-0.0005160818501806,0.0008119015761471,True,NON-CONFIRMATORY
17,-0.0005141996817082374,0.0035253545547552115,-0.0040395542364634485,-0.005400100712836503,-0.0026428188616923554,0.0,0.001477397242126424,-0.0009631975604181866,-0.0009631975604181,-0.0017194006830036,-0.0002438050917692,True,NON-CONFIRMATORY
18,-0.000651433868720417,0.002760379093433353,-0.00341181296215377,-0.0047762379171529855,-0.001993690284722007,0.0,0.0012541990170389498,-0.0006027651483185328,-0.0006027651483185,-0.0012363418846352,3.106102619399343e-05,True,NON-CONFIRMATORY
19,-0.000991909516924382,0.003028071425065986,-0.004019980941990368,-0.005328541951285649,-0.002795771101735729,0.0,0.000995585829722228,-3.6763127978459847e-06,-3.6763127978464176e-06,-0.0006955137079979,0.0007197635578656,True,NON-CONFIRMATORY
20,-0.0011614599655139612,0.0029362477432120265,-0.0040977077087259875,-0.005465144898210841,-0.002728993968342942,0.0,0.001324603370472819,-0.00016314340495885782,-0.0001631434049588,-0.0009078903264319,0.000578606282941,True,NON-CONFIRMATORY
21,-0.0010357159218777503,0.002976341979020711,-0.004012057900898461,-0.005389637694344489,-0.002537673525243371,0.0,0.0010013020485598058,3.44138733179445e-05,3.44138733179393e-05,-0.0007013037176779,0.0007130476652562,True,NON-CONFIRMATORY
22,-0.0007616378702679675,0.0027154559179410516,-0.003477093788209019,-0.004724488342836247,-0.0022248477964333787,0.0,0.0008981445127423549,-0.00013650664247438738,-0.0001365066424743,-0.0008534301811913,0.0005868094853361,True,NON-CONFIRMATORY
23,-0.0007643228697061335,0.0026670340822399943,-0.003431356951946128,-0.004637034448031423,-0.002215699911454724,0.0,0.0008458005885977452,-8.147771889161165e-05,-8.147771889161414e-05,-0.0008187330776384,0.0006350447811019,True,NON-CONFIRMATORY
24,-0.0006506381596862077,0.0019479323881850166,-0.002598570547871224,-0.00385254351462383,-0.0012286867329584631,0.0,0.0010921813561017616,-0.00044154319641555393,-0.0004415431964155,-0.0011240485806286,0.0002325972086828,True,NON-CONFIRMATORY
