asset,tau,h,beta_shock,se_shock,pval_shock,n_obs
XRP,0.05,3,-0.07590044445265132,0.009429187582143814,8.536215666796914e-16,40578
XRP,0.05,6,-0.10660603877772443,0.01217970308692976,2.1605430884081932e-18,40575
XRP,0.05,12,-0.11852880313358993,0.016644975689087037,1.0892760020551164e-12,40569
XRP,0.05,24,-0.17159204869519548,0.021229901076948846,6.515961041704802e-16,40557
XRP,0.5,0,0.0011231926306624449,0.0009581680636029612,0.2411119102308768,40581
XRP,0.5,1,0.006310419271201236,0.0016196832357468105,9.791793574483567e-05,40580
XRP,0.5,3,0.015525139763378689,0.0024520193719266238,2.452074739642035e-10,40578
XRP,0.5,6,0.01977954660972669,0.0032512325698496993,1.1848336814119255e-09,40575
XRP,0.5,12,0.03546031310543557,0.004435147822202744,1.326614930531867e-15,40569
XRP,0.5,24,0.041406534218772745,0.0066676613871452795,5.347924838325956e-10,40557
DOGE,0.01,0,-0.060839631171887454,0.011339440123584264,8.125138897286722e-08,40581
DOGE,0.01,1,-0.09246810012648521,0.015941036614360613,6.655456986857371e-09,40580
DOGE,0.01,3,-0.1502225230551342,0.033411963169381234,6.941241008324052e-06,40578
DOGE,0.01,6,-0.24528237183986948,0.04155968722649685,3.6212149132649657e-09,40575
DOGE,0.01,12,-0.28276311644382757,0.04889414280758273,7.38430093730686e-09,40569
DOGE,0.01,24,-0.3008775028926312,0.04541427313697914,3.511663511711886e-11,40557
DOGE,0.05,0,-0.026871130198125655,0.004090626715308476,5.128186838832606e-11,40581
DOGE,0.05,1,-0.05421325081146678,0.006399595300386247,2.5058303064993848e-17,40580
DOGE,0.05,3,-0.06601544260106425,0.009000823970712326,2.2690692819772468e-13,40578
DOGE,0.05,6,-0.08888626015621429,0.013419864773477725,3.55202409662913e-11,40575
DOGE,0.05,12,-0.10893007310705195,0.016078579028819477,1.2622625636706535e-11,40569
DOGE,0.05,24,-0.12548379314598965,0.022177862179391546,1.5411871353146235e-08,40557
DOGE,0.5,0,0.003323983345462019,0.0009034974612594462,0.00023443639217270978,40581
DOGE,0.5,1,0.00564947492967714,0.0016099977540911174,0.00045028940975035294,40580
DOGE,0.5,3,0.010208852850558812,0.0024152613495274687,2.3754454387838353e-05,40578
DOGE,0.5,6,0.01808770912889179,0.003383955664485439,9.083523968670057e-08,40575
DOGE,0.5,12,0.03707587542997111,0.004833136789602977,1.7421552645706687e-14,40569
DOGE,0.5,24,0.03789401628565082,0.007211541261087243,1.490668443955167e-07,40557
