tau,h,q_tau,f_hat,beta_rif,se_beta_rif,g,n_obs,branch
0.05,12,-1.1701910413445171,0.077464023372963,-0.03057358300195203,0.006428750666339213,-0.0023683527482584363,40570.0,
0.05,13,-1.1701910413445171,0.077464023372963,-0.030299971844082493,0.0063589421949811235,-0.0023471577271301273,40569.0,
0.05,14,-1.1701910413445171,0.077464023372963,-0.028315025856237887,0.006368028387623327,-0.002193395824733663,40568.0,
0.05,15,-1.1701910413445171,0.077464023372963,-0.03166515246937822,0.006307615649521842,-0.0024529101109963514,40567.0,
0.05,16,-1.1701910413445171,0.077464023372963,-0.027979072064290216,0.0061506323771891806,-0.0021673714923419935,40566.0,
0.05,17,-1.1701910413445171,0.077464023372963,-0.022906650948022106,0.00621953110495626,-0.0017744413444338895,40565.0,
0.05,18,-1.1701910413445171,0.077464023372963,-0.024077078007662213,0.006178203996049112,-0.0018651073335381992,40564.0,
0.05,19,-1.1701910413445171,0.077464023372963,-0.02344500878547151,0.006216050062227594,-0.001816144708537088,40563.0,
0.05,20,-1.1701910413445171,0.077464023372963,-0.025583880097090363,0.006142007071946265,-0.001981830285812091,40562.0,
0.05,21,-1.1701910413445171,0.077464023372963,-0.023279704068545855,0.0061431212971596386,-0.001803339540081498,40561.0,
0.05,22,-1.1701910413445171,0.077464023372963,-0.021392615386421523,0.0061135184268002445,-0.0016571580583025648,40560.0,
0.05,23,-1.1701910413445171,0.077464023372963,-0.023816810422365775,0.006103434330129994,-0.0018449459592275712,40559.0,
0.05,24,-1.1701910413445171,0.077464023372963,-0.010357456213053402,0.005872385275772783,-0.0008023302301724096,40558.0,
0.1,0,-0.7487739716754138,0.183894632426616,-0.027387204029479348,0.0029379866132687622,-0.0050363598181938415,40582.0,
0.1,1,-0.7487739716754138,0.183894632426616,-0.021657099057446217,0.003562070813317878,-0.003982624270595884,40581.0,
0.1,2,-0.7487739716754138,0.183894632426616,-0.017034214190671013,0.003490698496831922,-0.003132500557269692,40580.0,
0.1,3,-0.7487739716754138,0.183894632426616,-0.01965626280163864,0.0034938311899739504,-0.0036146812227883032,40579.0,
0.1,4,-0.7487739716754138,0.183894632426616,-0.016693158313611536,0.0034914409443275287,-0.003069782212120902,40578.0,
0.1,5,-0.7487739716754138,0.183894632426616,-0.016277740245506798,0.003472826811973944,-0.0029933890591834064,40577.0,
0.1,6,-0.7487739716754138,0.183894632426616,-0.011944904825338032,0.0034507638856567996,-0.002196603882226449,40576.0,
0.1,7,-0.7487739716754138,0.183894632426616,-0.013768964135729023,0.0034217456691365516,-0.002532038598635147,40575.0,
0.1,8,-0.7487739716754138,0.183894632426616,-0.009634114990748496,0.0033998637992010135,-0.0017716620349794458,40574.0,
0.1,9,-0.7487739716754138,0.183894632426616,-0.01927912294008766,0.0034505389301959363,-0.0035453272265749606,40573.0,
0.1,10,-0.7487739716754138,0.183894632426616,-0.012400384009893503,0.0034148019090828635,-0.0022803640594482523,40572.0,
0.1,11,-0.7487739716754138,0.183894632426616,-0.01446335058273353,0.0034528781696334912,-0.0026597325390690647,40571.0,
0.1,12,-0.7487739716754138,0.183894632426616,-0.013516728003521435,0.0034319305429016435,-0.0024856537278181213,40570.0,
0.1,13,-0.7487739716754138,0.183894632426616,-0.017650093017055727,0.003462069366779695,-0.0032457573676670445,40569.0,
0.1,14,-0.7487739716754138,0.183894632426616,-0.017373005340872615,0.003450637827905458,-0.003194802431305406,40568.0,
0.1,15,-0.7487739716754138,0.183894632426616,-0.017327693987096455,0.003449872061575234,-0.0031864699165579866,40567.0,
0.1,16,-0.7487739716754138,0.183894632426616,-0.017712549993250132,0.003427544979338423,-0.003257242870346793,40566.0,
0.1,17,-0.7487739716754138,0.183894632426616,-0.015944458228554354,0.0034351518505098605,-0.002932100285181536,40565.0,
0.1,18,-0.7487739716754138,0.183894632426616,-0.014116513914478462,0.0034069099931302222,-0.002595951137448227,40564.0,
0.1,19,-0.7487739716754138,0.183894632426616,-0.015662294515130775,0.003437775133851941,-0.0028802118928173775,40563.0,
0.1,20,-0.7487739716754138,0.183894632426616,-0.013803200620328682,0.0033616083913637065,-0.002538334504386181,40562.0,
0.1,21,-0.7487739716754138,0.183894632426616,-0.016527470911938777,0.003424681818993785,-0.003039313188292569,40561.0,
0.1,22,-0.7487739716754138,0.183894632426616,-0.011533857150959202,0.003385719788855565,-0.0021210144212367387,40560.0,
0.1,23,-0.7487739716754138,0.183894632426616,-0.013025512624594131,0.0033740576735035136,-0.0023953218562679838,40559.0,
