alpha,h,side,method,beta,se,ci_lo,ci_hi,pval,n_obs
0.05,7,up,logit,0.05081539466764452,0.007292919572098826,0.03652127230633082,0.06510951702895822,3.220014213798207e-12,40575
0.05,7,up,lpm,0.003101845051519834,0.0004915191475288131,0.002120642036115185,0.004086619161416877,2.7772080149934065e-10,40575
0.05,8,down,logit,0.027041933863120753,0.007603012827090161,0.012140028722024037,0.04194383900421747,0.00037548656985328496,40574
0.05,8,down,lpm,0.0016647054137959934,0.0004835311689017585,0.0007482412937780205,0.0026877446208172233,0.0005757059597792396,40574
0.05,8,up,logit,0.05146367554902838,0.007262318657338989,0.03722953098064396,0.06569782011741279,1.3764824787629153e-12,40574
0.05,8,up,lpm,0.0031792333234943386,0.0005163515127701654,0.002089500720597491,0.004234514549658248,7.408415795926862e-10,40574
0.05,9,down,logit,0.04236286729289766,0.007361115590544611,0.027935080735430225,0.0567906538503651,8.66663884640425e-09,40573
0.05,9,down,lpm,0.002614956937767433,0.0004904679297913165,0.0016193629504915046,0.0036849510199898645,9.737510677819456e-08,40573
0.05,9,up,logit,0.042982874363921925,0.007345416984930884,0.028585857073457392,0.05737989165438646,4.866941114235332e-09,40573
0.05,9,up,lpm,0.002662794199475127,0.0004967239297087309,0.001710615788530097,0.0036985287971363122,8.289433407099971e-08,40573
0.05,10,down,logit,0.034796621897163885,0.0074711285430755885,0.020153209952735732,0.04944003384159204,3.2010556332296527e-06,40572
0.05,10,down,lpm,0.0021452344738620535,0.0004865733517312495,0.00110798880553585,0.003233713512757377,1.039154938509919e-05,40572
0.05,10,up,logit,0.05382143945408382,0.007196709586474707,0.03971588866459339,0.06792699024357424,7.510843470960127e-14,40572
0.05,10,up,lpm,0.003339295422479726,0.0005098174881522135,0.00228300828317331,0.004331316293962766,5.754397983679628e-11,40572
0.05,11,down,logit,0.03389913737741245,0.007477028894465044,0.019244160744260965,0.048554114010563934,5.793982251845691e-06,40571
0.05,11,down,lpm,0.002091888625443571,0.00048825379660447885,0.0009407661202546162,0.0031983959494782613,1.8320927090340106e-05,40571
0.05,11,up,logit,0.04317895427178892,0.007350366935009574,0.028772235079170157,0.05758567346440769,4.243919322320358e-09,40571
0.05,11,up,lpm,0.00267387401992978,0.0004939250234026017,0.0014885832154316043,0.003894908763295824,6.17969702106136e-08,40571
0.05,12,down,logit,0.038421524846785515,0.007403382588264281,0.023910894973787525,0.052932154719783506,2.106040961506783e-07,40570
0.05,12,down,lpm,0.0023683527482583925,0.0004979968918762521,0.0011924702372971478,0.003426200320277147,1.9770309895272534e-06,40570
0.05,12,up,logit,0.04461633189532554,0.007337072257231656,0.030235670271151493,0.05899699351949958,1.1947637169987058e-09,40570
0.05,12,up,lpm,0.002758621363596247,0.0004935178204983131,0.001550599106377152,0.003852027731783136,2.274494995286837e-08,40570
0.05,13,down,logit,0.038094398178462635,0.007416467249633483,0.02355812236918101,0.052630673987744264,2.7995973454983716e-07,40569
0.05,13,down,lpm,0.0023471577271301338,0.0004925892468193383,0.001148964323467545,0.003508855125900635,1.8891076503446936e-06,40569
0.05,13,up,logit,0.03530121875387124,0.00747981669744159,0.02064077802688572,0.049961659480856756,2.3639026787195614e-06,40569
0.05,13,up,lpm,0.0021559326202658493,0.0004928153717256365,0.001086677239041534,0.0032379284876869873,1.2158464738599235e-05,40569
0.05,14,down,logit,0.03584892150804699,0.007472680096697002,0.021202468518520867,0.05049537449757312,1.6079359752198034e-06,40568
0.05,14,down,lpm,0.0021933958247336606,0.0004932930998585454,0.0011870064558909819,0.0032351007583967094,8.730696901044162e-06,40568
0.05,14,up,logit,0.042816926205233606,0.0073467541359778,0.028417288098717117,0.057216564311750095,5.609360723908082e-09,40568
0.05,14,up,lpm,0.0026419655200487758,0.0004913129925134135,0.0014721037721219994,0.0038359537897028986,7.558706705556297e-08,40568
0.05,15,down,logit,0.03994421982174957,0.007404098972439315,0.02543218583576851,0.05445625380773063,6.85696544421478e-08,40567
0.05,15,down,lpm,0.002452910110996298,0.0004886132861022276,0.001403254132817742,0.003564944981396634,5.163217829795331e-07,40567
0.05,15,up,logit,0.04560929057369172,0.007341992287479317,0.031218985690232265,0.05999959545715118,5.227659095631907e-10,40567
0.05,15,up,lpm,0.002797734413128643,0.0004935102298680354,0.0017044255456960256,0.0038027389048277726,1.4359104657491802e-08,40567
0.05,16,down,logit,0.03563491612608448,0.007492371897283658,0.02094986720740851,0.05031996504476045,1.973105516779691e-06,40566
0.05,16,down,lpm,0.002167371492342029,0.0004764527302250861,0.001080459801560549,0.003408533187901723,5.390788172848725e-06,40566
0.05,16,up,logit,0.04796999642480092,0.00724934785752124,0.033761274624059284,0.06217871822554255,3.661986783402249e-11,40566
0.05,16,up,lpm,0.0030069649791093747,0.000513410925764215,0.0018403272247503925,0.004104433660947639,4.717609127104335e-09,40566
0.05,17,down,logit,0.029887460314761864,0.00762403512517014,0.014944351469428388,0.04483056916009534,8.848910198917818e-05,40565
0.05,17,down,lpm,0.0017744413444339257,0.0004817899028832024,0.0007548015529845057,0.002885510814824951,0.00023048801412587107,40565
0.05,17,up,logit,0.05623115292744773,0.007156728139635457,0.04220396577376223,0.07025834008113323,3.931183556386245e-15,40565
0.05,17,up,lpm,0.0035253545547552483,0.0005087740672358893,0.0024266926750074317,0.004711807264909187,4.234783142312277e-12,40565
0.05,18,down,logit,0.03158768903627172,0.00759839427491836,0.016694836257431733,0.0464805418151117,3.222379174705243e-05,40564
0.05,18,down,lpm,0.0018651073335381977,0.0004785885387528821,0.0008301309517310508,0.0029032196813575154,9.735147955345192e-05,40564
0.05,18,up,logit,0.04470298906206356,0.007326773680808134,0.03034251264767962,0.0590634654764475,1.0519621670351732e-09,40564
0.05,18,up,lpm,0.002760379093433356,0.0005112638750264723,0.001694618686527406,0.003931665088664726,6.696559169602694e-08,40564
0.05,19,down,logit,0.030820477268115057,0.0076086192929726544,0.015907583453888652,0.04573337108234146,5.105766960369431e-05,40563
0.05,19,down,lpm,0.0018161447085370882,0.0004815202473079067,0.0007521778753074668,0.0029382569953130045,0.00016214615360900207,40563
0.05,19,up,logit,0.048395856815577315,0.007246221793634451,0.03419326210005379,0.06259845153110084,2.4095413669016116e-11,40563
0.05,19,up,lpm,0.0030280714250659874,0.0005004606889557795,0.0020021184998068576,0.0042267856440392215,1.4433603015574795e-09,40563
0.05,20,down,logit,0.03428291088887113,0.007600392356336204,0.01938614187045217,0.04917967990729009,6.462121929240185e-06,40562
0.05,20,down,lpm,0.0019818302858120745,0.0004757845793781489,0.0009287038685160477,0.0029904604098817547,3.1081515942556286e-05,40562
