tau,h,beta_shock,se_shock,pval_shock,beta_interaction,se_interaction,pval_interaction,n_obs
0.01,18,-0.09483657857854766,0.03439690070177712,0.005833800690230695,0.021107576343126766,0.0571266430138985,0.7117663720863211,40564
0.01,19,-0.10435684331787343,0.03556094976828727,0.003341747597979102,0.008279919627966592,0.06019090237753584,0.8905880771864433,40563
0.01,20,-0.11333862918466764,0.03563296902947791,0.001470182218971325,-0.02367068000785366,0.06460605971550429,0.7140798514982968,40562
0.01,21,-0.1398865627892718,0.03936304207490219,0.00038020577333205,-0.049462730325672055,0.06881061645305557,0.4722534403432801,40561
0.01,22,-0.10208991319480631,0.038097631862355805,0.007371971588972744,-0.10124471634829746,0.06792730828326068,0.1361042172045849,40560
0.01,23,-0.13388356148504954,0.04230446429587589,0.0015532451418657108,-0.11169807324537118,0.07347104018007111,0.12844321684536025,40559
0.01,24,-0.1188530003429662,0.04482253905705558,0.008013429941371568,-0.09961028419398943,0.07903481717993607,0.20755607491801847,40558
0.05,0,-0.01395609418920074,0.002038045559248775,7.606892442354749e-12,0.0008063385885632712,0.0035011981071017243,0.8178570111141332,40582
0.05,1,-0.03017538358716898,0.0035772699498672323,3.410757944248574e-17,-0.002558951607511517,0.006223230012013961,0.6809328403062922,40581
0.05,2,-0.0323522424451993,0.004822751387403014,1.995474220064762e-11,-0.015088409352235654,0.008505757365474747,0.07608628970784169,40580
0.05,3,-0.03774461206052404,0.006922901774150868,5.005763710993405e-08,-0.006083820391368011,0.012023750388722033,0.6128709185897689,40579
0.05,4,-0.03598644083274749,0.00731748119873708,8.783134931266924e-07,-0.028534131228994397,0.012671933313071888,0.024342875143074247,40578
0.05,5,-0.037374045020314384,0.00834170941288794,7.471288986719452e-06,-0.0198637330763205,0.014551744418568179,0.1722476188332361,40577
0.05,6,-0.04426261757406191,0.008749908846409665,4.2410102419427145e-07,-0.023731848626376006,0.01522451767819007,0.1190535391054004,40576
0.05,7,-0.051156659630029466,0.0099694055869934,2.8897188099964903e-07,-0.017931471438987323,0.01712714070210016,0.29512318205995974,40575
0.05,8,-0.04950354957254155,0.009677674595854141,3.1478012527039313e-07,-0.023307424523852482,0.016427218065347717,0.15595636078480313,40574
0.05,9,-0.0586230809196433,0.010863776788536002,6.844885081381804e-08,-0.02327837818289069,0.018838755832242534,0.21659052571715717,40573
0.05,10,-0.054663206530200625,0.011126681701854203,9.013218903524839e-07,-0.01827342355564454,0.019595858569348486,0.35107621260323285,40572
0.05,11,-0.05683475486323886,0.011462729169127774,7.142796404918167e-07,-0.012962217973285561,0.02035778671188997,0.5243105802343881,40571
0.05,12,-0.052600735787034836,0.01109958641651966,2.1552216886085284e-06,-0.02254677676139316,0.01986604172066601,0.2564069254498833,40570
0.05,13,-0.04630951119718407,0.012285727761696171,0.00016388882361039362,-0.019113788418232858,0.02176731913785779,0.3798970104620156,40569
0.05,14,-0.049664791917853446,0.012862238184308619,0.00011296627980372488,-0.014153531782119089,0.022338823127372665,0.5263556003399839,40568
0.05,15,-0.05951643448946123,0.013623334279592517,1.2529078328898172e-05,-0.0047387077140923495,0.023585935931470972,0.8407680551897279,40567
0.05,16,-0.05445721298410744,0.014356753346001214,0.00014896838658905333,-0.014696902322690164,0.025234522409262303,0.5602920736666042,40566
0.05,17,-0.04866690924244321,0.015328765186971946,0.001500132359324355,-0.010970864935540448,0.026638500262356486,0.6804570890174604,40565
0.05,18,-0.0390522933884383,0.01505603109310488,0.00949565345740829,-0.07180937512104318,0.02600734704279481,0.005762960914734852,40564
0.05,19,-0.047385900512114165,0.014748478375578036,0.0013148868942495675,-0.0655570895514106,0.025681042885519024,0.010691477559664132,40563
0.05,20,-0.04624909538189903,0.014452075700275359,0.0013745237926701763,-0.06738733538006869,0.025016592324903213,0.007069160978054271,40562
0.05,21,-0.05794235159753214,0.01595617214107048,0.000282296119016867,-0.060927377520840764,0.027707620077652654,0.027887857031737545,40561
