h,measure,beta,se_hac,ci_lo,ci_hi,pval,n_obs
21,absret,0.01496396191855536,0.0025295414575130957,0.010443332461581288,0.02029385947889267,3.3050397294296063e-09,40561
22,absret,0.01212929328914571,0.002204705229653144,0.008221787701203359,0.016397510712266014,3.764694959829086e-08,40560
23,absret,0.01300407045616592,0.002229260235348918,0.008929721987515741,0.018003007887044002,5.4323215592224015e-09,40559
24,absret,0.009731393304195602,0.0019537477574994772,0.005847748446115477,0.013296650166037805,6.329407840815802e-07,40558
0,rv,0.021376606638221232,0.0019192659504313203,0.017307990124490302,0.025579406879710314,8.202388624625896e-29,40582
1,rv,0.018417568631842563,0.0018705366885318185,0.014651203426937695,0.022331028657044047,7.12261428959074e-23,40581
2,rv,0.027843886801610915,0.0028305577975571384,0.02182820271479707,0.033313139943608926,7.808710041597541e-23,40580
3,rv,0.033781909317314354,0.0034375350210964087,0.02577133872620024,0.040969680750846546,8.583572914424234e-23,40579
4,rv,0.03898823712771954,0.004046855282462246,0.03068619212651917,0.0475585059540129,5.733355729366632e-22,40578
5,rv,0.04314134229128348,0.004692883819205136,0.03329909243800985,0.05346721881776823,3.822914845145659e-20,40577
6,rv,0.04726090447154353,0.005326229877119207,0.03574361425026277,0.05920900548644165,7.104937317807033e-19,40576
7,rv,0.05123710495054353,0.005926478468911784,0.03850501703194333,0.06341481246887341,5.3591154974119765e-18,40575
8,rv,0.05436070585280313,0.006468378340454762,0.04031852779314291,0.06956654466877785,4.3126456655358106e-17,40574
9,rv,0.057363252280653754,0.00678541508717416,0.04268653011463893,0.07164673737578893,2.817193639634034e-17,40573
10,rv,0.06053358899107139,0.007192334947844656,0.045969724229287974,0.07689567121019264,3.88220378832004e-17,40572
11,rv,0.06292153502444052,0.007474278627299196,0.04743440325775279,0.07991512755448237,3.8163118835295585e-17,40571
12,rv,0.065356972310655,0.007892421911402341,0.049648482992455265,0.08244623321627757,1.221677474948088e-16,40570
13,rv,0.06717594220809307,0.008322721311482432,0.04958786246757256,0.08542627035942574,6.950145782742096e-16,40569
14,rv,0.06857956424556096,0.008534366254702948,0.052147286750152844,0.08818839268090892,9.304994546574533e-16,40568
15,rv,0.07023520458769457,0.008782111891007024,0.05365941243333925,0.09046260826399888,1.2693970302509625e-15,40567
16,rv,0.07256675968998173,0.009086071113483281,0.05430370494624833,0.0904243662728056,1.3871816626780673e-15,40566
17,rv,0.07500432003707021,0.009388141366285893,0.056701259587971474,0.09386904667526488,1.3574904414097891e-15,40565
18,rv,0.07686002804147693,0.009655180119346345,0.057588180861660024,0.09685391892655502,1.7135023171868393e-15,40564
19,rv,0.07904954965653915,0.010007603482121213,0.05882085139886447,0.10027577897979016,2.8126489602156657e-15,40563
20,rv,0.08195046889463563,0.01032928174963106,0.06275670520584566,0.10235925877679965,2.1253806207866506e-15,40562
21,rv,0.08471161346190022,0.010745202412203978,0.06505996996920944,0.10676467026840886,3.1790705757666467e-15,40561
22,rv,0.0864933131370646,0.011087212628578133,0.06590880306033804,0.1077153370960107,6.133219724588663e-15,40560
23,rv,0.08845407165984401,0.01141563926078585,0.06684791770921186,0.11022947451789183,9.298495753159374e-15,40559
24,rv,0.08950172074970791,0.011646793906306966,0.06729415598844785,0.11221771887408455,1.5339669900297044e-14,40558
