tau,h,beta_shock,se_shock,pval_shock,beta_interaction,se_interaction,pval_interaction,n_obs
0.9,15,0.06935138035703403,0.010047234491566167,5.1832259172015056e-12,-0.0027928293912911073,0.017596295176806113,0.8738927142822397,40567
0.9,16,0.07096709044933025,0.010540996267049177,1.690080650842678e-11,0.012796266982553206,0.018330167730110262,0.48511944874180724,40566
0.9,17,0.07452373597106998,0.010988984639552887,1.2041481132049085e-11,0.02375242374866815,0.018988142223698875,0.21097516984933737,40565
0.9,18,0.09180050243974591,0.011557877928729827,2.0292775142865335e-15,0.013704206783664574,0.01993555373655465,0.49181860232879815,40564
0.9,19,0.08591172776446321,0.011789423582128193,3.222487970712917e-13,0.025974830267401217,0.020282743385663844,0.20032854526075888,40563
0.9,20,0.09192689546585964,0.012425716304691995,1.407960896851038e-13,0.018540920493107294,0.021363475430415054,0.38546548624239174,40562
0.9,21,0.10473094387567627,0.013191020092814082,2.0808040468762503e-15,-0.005171386310834691,0.02268256121922096,0.8196555350074985,40561
0.9,22,0.0950805759191895,0.013131964257416437,4.553173542920279e-13,0.011286298271694584,0.022505998897966045,0.6160363866194751,40560
0.9,23,0.10000659458576511,0.012884685319041432,8.578034723466563e-15,0.015614856448292969,0.022040516257471096,0.47866280636143643,40559
0.9,24,0.10163336191632943,0.013021409193207434,6.087579768205293e-15,0.01678121633737817,0.02242661984033084,0.4543003244165623,40558
0.95,0,0.018430059596655335,0.0021079572267991673,2.3534469965441836e-18,0.0026355764383771962,0.0036238365644568364,0.4670531370775787,40582
0.95,1,0.030665205349187374,0.004567708557599307,1.9253858260501353e-11,0.004014866398054373,0.008217086280692093,0.6251277225946448,40581
0.95,2,0.041880840995713486,0.0057656247551176295,3.8287407185985896e-13,-0.004532748796165276,0.01059841560810462,0.6688851179899878,40580
0.95,3,0.04392638641608737,0.006913896910568678,2.129088931437183e-10,0.005636592028066767,0.01261948349187752,0.6551244656478454,40579
0.95,4,0.039979117017328036,0.008774594734291827,5.223019292912077e-06,0.01754254150138479,0.015804476702882368,0.2670172653177392,40578
0.95,5,0.0531932311946548,0.008607036458449185,6.462712354494734e-10,0.001218007261304166,0.01556654861700449,0.9376334166135236,40577
0.95,6,0.04143529108958521,0.009761445740656953,2.1928366083592874e-05,0.005212635893561135,0.017414973042034404,0.7646980354629931,40576
0.95,7,0.05071314145846528,0.010878297554854009,3.1435444177057306e-06,-0.012734712909251655,0.019563681371796718,0.515091210634298,40575
0.95,8,0.06209702608686474,0.011822439786609198,1.5082763676474942e-07,-0.03271914061884473,0.020592924563598538,0.11210126073839281,40574
0.95,9,0.0713775790824176,0.011641996589169501,8.810838411706296e-10,0.014861387699315998,0.020225952393635418,0.46248489240373447,40573
0.95,10,0.06702931242752541,0.012434083096255936,7.054630675766159e-08,0.014407335121414455,0.02183528084481183,0.509373677827182,40572
0.95,11,0.08221725034206173,0.012689443749417818,9.327368767413021e-11,0.006117741861052295,0.02236029877779395,0.7843946604487296,40571
0.95,12,0.07743290485583643,0.012476507196804586,5.477145868789145e-10,0.01769738679460886,0.021804170414839043,0.4169964159318933,40570
0.95,13,0.08347602730548331,0.013501180352850044,6.354579425815159e-10,0.027506945743693834,0.023512031508557484,0.2420443208036193,40569
0.95,14,0.07907007130754806,0.013940359855147761,1.4207757630823136e-08,0.04218372170979734,0.02400056600258636,0.07882081699146956,40568
0.95,15,0.0941478975901715,0.014098218602269084,2.4534466425375954e-11,0.03199205650851189,0.024421522646260074,0.19020516864509518,40567
0.95,16,0.10980307635315967,0.01571560799389898,2.8539108388651024e-12,0.0013556776708014695,0.027782661370019144,0.961082255716138,40566
0.95,17,0.10405466760956017,0.014278973136296794,3.220599196918283e-13,0.013274733287680363,0.024678240344196384,0.5906404286744257,40565
0.95,18,0.11293117535368058,0.01458082843709799,9.765510200900095e-15,0.009507945085696523,0.025443501858263454,0.7086380050627131,40564
0.95,19,0.12425399989228936,0.015403061663355581,7.410721402018227e-16,-0.01899225847097341,0.02684527962345831,0.4792778554169983,40563
0.95,20,0.12973368921377926,0.015769894285713085,1.98163082625178e-16,-0.009700367936488874,0.02723159492868524,0.7216796154167753,40562
0.95,21,0.13962171570497262,0.016334910524720185,1.301665325992533e-17,-0.006611579998434536,0.027731516750122847,0.8115612660007999,40561
