dgp,vol_model,h,tau,beta_real,beta_placebo_mean,placebo_ci_lo,placebo_ci_hi,gap_real,gap_placebo
model_scaled,garch,18,0.99,0.16833415543291963,0.08967176978580042,-0.025169006955499815,0.22559459940806803,0.06358294282643229,0.08340693292535561
model_scaled,garch,24,0.01,-0.21309558149341967,-0.15467743543338766,-0.33016390666231477,-0.003113852139320693,0.05753599815609789,0.05146041844642577
model_scaled,garch,24,0.05,-0.11593610713527092,-0.07821911787249054,-0.14743165070431288,-0.022584557571487376,0.05753599815609789,0.05146041844642577
model_scaled,garch,24,0.95,0.11594303556308105,0.09087907398422654,0.03074634594193384,0.15041439269991308,0.05753599815609789,0.05146041844642577
model_scaled,garch,24,0.99,0.15555958333732178,0.0999971107693824,-0.029838791015443306,0.2762843558010978,0.05753599815609789,0.05146041844642577
model_scaled,rolling,0,0.01,-0.03217347612399912,-0.04078972822051284,-0.06220148614320954,-0.02312606330994219,0.013539574138174526,-0.0010838756232796722
model_scaled,rolling,0,0.05,-0.019448830062145817,-0.02049359330530277,-0.026005095561082714,-0.015159735956539617,0.013539574138174526,-0.0010838756232796722
model_scaled,rolling,0,0.95,0.0184300595954614,0.02097722853104728,0.015350038970539399,0.026236858772229563,0.013539574138174526,-0.0010838756232796722
model_scaled,rolling,0,0.99,0.018633901985824597,0.041873603843792524,0.02191162131786901,0.06168127328020986,0.013539574138174526,-0.0010838756232796722
model_scaled,rolling,1,0.01,-0.08682350672926376,-0.06364542635085738,-0.08997275914780424,-0.040917153465112856,0.04443042496625438,0.014491044740040876
model_scaled,rolling,1,0.05,-0.04540645567431412,-0.03427567906866627,-0.04325996763940654,-0.025388752511099198,0.04443042496625438,0.014491044740040876
model_scaled,rolling,1,0.95,0.03066520534648909,0.03407851375277644,0.02489063148585986,0.04297372578290505,0.04443042496625438,0.014491044740040876
model_scaled,rolling,1,0.99,0.04239308176300938,0.0491543816108165,0.026417130705629423,0.07554260567218601,0.04443042496625438,0.014491044740040876
model_scaled,rolling,3,0.01,-0.10509403258804895,-0.07930205436600363,-0.1212823012571031,-0.040584186568914514,0.04471839562835811,0.04648020737046959
model_scaled,rolling,3,0.05,-0.04584596590021306,-0.04088909327954259,-0.05476131018236392,-0.026726040612601865,0.04471839562835811,0.04648020737046959
model_scaled,rolling,3,0.95,0.043926386415731655,0.033674579946826926,0.021131322417767273,0.04744866639575287,0.04471839562835811,0.04648020737046959
model_scaled,rolling,3,0.99,0.06037563695969084,0.03251803347402837,0.0018068849761188727,0.07046125243771874,0.04471839562835811,0.04648020737046959
model_scaled,rolling,6,0.01,-0.15954378718214457,-0.10524066180168463,-0.1705413817136727,-0.046996977010167945,0.0800823574793803,0.07134568002106599
model_scaled,rolling,6,0.05,-0.07923013621915942,-0.05168503574849256,-0.07127576774365839,-0.030632267647712177,0.0800823574793803,0.07134568002106599
model_scaled,rolling,6,0.95,0.0414352910896838,0.03288566884247276,0.014900333674398959,0.051561869963050976,0.0800823574793803,0.07134568002106599
